text,sentiment,urgency,confusion
"Welcome to International Women's Health and Human Rights! We're glad you're aboard and look forward to learning together. This is an interactive space, so we hope will share your views and past experiences._x0007__x0007_Please let us know if there's anything we can do to improve this online experience by posting in the Course Material Feedback category. If you run into any technical troubles, you can also make a query in the Tech Support category. (You are welcome to help answer your fellow students' questions in those arenas as well)._x0007__x0007_Thank you for joining our Community and making it a welcoming space for all participants!",1,0,1
"So many of the women's heath issues are so deeply rooted in their culture. Acceptance of domestic violence, lack of status, genital cutting, depression and arranged early marriage are all so prolific that it is 'normal' in their world. That is why human rights, including women's health education is so very important in the quest to change these practices. The grassroots efforts and women's groups that are growing around the world, focused on teaching human rights and instilling worth to women are imperative to the effort to empower women to want and demand change. My mind is abuzz with all of the information I just read about. I am so excited to get started with this course. There is so much to learn and so much to do.",1,0,1
"In some countries or where I come from, not only culture causes hindrance to access to women's health but religion is sometimes the barrier. For instance, Reproductive Health, I believe that RH is a vital information to every women but then religion is hindering, making it a bad thing. That's why learning about International Women's Health and Rights is very important.",1,0,1
"This was a very interesting interview. From what Akila said, the Global Justice Center are really making headway and changes in the realm of Women's rights.",1,0,1
"I appreciate that the text is centered around the value of social justice and that the Prologue directly addresses poverty and includes the lens of mental health.  For women in war-torn areas, the consequences of being born a woman are particularly dire.  In a book I am reading for my Tantric Dance class, Judith Thompson observes \Post-Traumatic Stress Syndrome does not only happen in war, it happens with women in everyday life.\"" Thank you for making this learning opportunity available and giving voice to issues affecting women and girls.  Together, we can forge and support paths of healing.""",1,0,1
"I was not shocked to see that some women from various parts of the world find battery is acceptable to them. _x0007_I lived in a multi-race country. _x0007_Even in a multi race community, the women are prone to be the mother of the child and the men are to be the breadwinner of the family. Women are expected to listen to their husband. Women in the work place too faces discrimination as they do not receive any increase in salary (even if they should) but the men get it. Reason being the chances of women getting a child is high and probably wasted some human resource for a period of time. Where is this coming from?_x0007_Where is our(female) human rights? We are born equally as a human, are we not? We are not born with a tag saying \Hey, i am girl so my job is to get children!\"" on our head, right? _x0007_Who is the husband, society or gender roles to tell us who we can be? Humans are intellectual beings - we are supposed to shape our talents that was given to us when we are born. Why women are not well represented in the media? Why women are not given the equal education opportunities? Why are women not given a chance to have sucessful career in a certain company without gender discrimination or judgement? _x0007__x0007_Usually, the countries that has high gender expectations (Malawi, Africa etc, from the data) are countries that were not giving proper education to these women. My mother is an uneducated women who was part of a breadwinner of her family when my grandfather died. As much as my parents are loving and loyal parents, in my father's eyes, my mother will always be uneducated person. To him, it is his job to protect my mother in terms of financial, family, food, clothing, basic survival etc. It's sweet of him, but my mother is more than that - she's smart! But my mother happily just accept this \""insult\"" as part of her life. Education really do place a role here. With education, we can tell ourselves to fight for our human rights, and to be whoever we want to be. _x0007_I apologize if i have offended anyone. I understand this post seems to support only females, but i really do support some aspects of men. The only reason females needed more attention because as the histories had shown, only a small little change has occurred to shift gender expectations and balance equalities. Men has been given a \""stamp\"" on their forehead saying \""This is a men's job. we provide\"". Men, step aside, we women can do things on our own and lift some of your \""provide\"" \""burden\"". Because we are equally human. Toge""",0,0,1
"To add on your culture and religious point - (not sure if it's relevant but here goes~) When a Chinese man and Chinese women get married, their child will bear the Man's surname rather than both. For the western countries, some people drop their surname to match with the husband as well. _x0007_My friend who was raised by her mother only, had her father's surname. I questioned why people follow this? Culture? It feels right? Feel free to comment on this._x0007__x0007_Another point (on culture) is this country (for the life of me, i forgot the tribe or country's name!) supported the culture of men kidnapping a female to make them their wife. Kidnap, not forced marriage! _x0007__x0007_Another point (on religious view) is this - in some religion, the men is allowed to marry a X number of females, and female is only expected to serve one husband. Outrageous for some people. Obedients Wives Club supported the idea to shape women to what their religion told them to be for optimal pleasure for the husband. _x0007__x0007_I am just adding points. :) Great to see such comments! Feel free to correct me - i am learning as much as you do too~",1,0,1
"As someone who currently works for the improvement of women’s health and human rights in Cambodia, a lot of what I read in the prologue was not new information to me.  However, it is incredibly impacting, as well as motivating._x0007__x0007_The critical issues mentioned are indeed critical.  I look so forward to learning more about these specific topics in regards to the current situation, as well as what is happening now, and also hopes and goals moving forward.  There is much work to be done to improve the lives of women.  I am eager to better learn how this can be addressed and accomplished.",1,0,1
"One of my dance students mentioned only yesterday how happy she was to be a woman living today (she is 60+). I can't help but think though, that reading these introductory pages would have brought tears to her eyes. I look forward to learning more about the themes this course offers - supported by social justice foundations - particularly in regard to those individuals and groups who are inspiring change in this area.",0,0,1
"Mental Health is an issue that women in Liberia are faced with, but the issue is often neglected. There is little attention given to women is such very critical post conflict community, where women were forced to watch their love ones being brutally murdered. Women with mental illness are further abused and are neglected by their family members and the society. I am sure this will form a critical component of the course and that we can find a way forward to the menace.",0,0,1
"Sure, it is worse in Sub Saharan Africa, which has been marred by brutal conflicts. Women were used as sex slaves and human shields. Women had the tasked of feeding the entire family.",0,0,1
"Halo, I'm <nameRedac_<anon_screen_name_redacted>> from Indonesia. I'm a social student in (secondary) high school. Okay, I'm taking this course to improve my knowledge about human rights._x0007__x0007_Nice to know you, guys:)",1,0,1
"It is really shocking to meet women, who accept wife beating and believe they deserve it. As an African young woman who believe people should be treated equally ,I used to get so cross about it and wondered if they were thinking straight. _x0007_As I began to ask questions and learn more about the way children especially girls are socialised in African communities like mine, I learnt that from the day you are born a girl, the grooming starts, you are socialised to be the home keeper, so that you will one day  be  a good wife and able to keep a husband, a home and family together at your human expense.These are done through religion and traditions. _x0007_In most of these communities, the first person a wife who has been beating will go to is the mother or an older woman  in her family. And there, they are told how their mothers,grand mothers,sisters ,aunties and female cousins have and are experiencing it and therefore is no issue. Questions are ask to imply it is all their fault and it is something they might have done or said. They are further reminded of a wife / woman's role in the home and advice to do better._x0007_Those who are religious, go to their religious leaders and most of the leaders use their religious books to tell the women it's all their fault and are asked to go apologise to the husbands and promise to me more obedient. _x0007_Others are asked to endure because of the children. Since  in most African communities women are not economically empowered and when there is a divorce, most husbands forget about their children and move on with their life. _x0007_As a young African woman, who can relate to communities where these treatments are not dealt with  properly, I will rather say it is more of an institutional challenge.",0,0,1
"Though I am acutely aware of the fact that an unfathomable number of women in this world live in great peril, it is still quite shocking to see how a lot of countries view the mistreatment of women as nothing out of the ordinary. Very disheartening, indeed, to be informed that the road to female empowerment and full equality is long ahead of us; how the exact opposite of those things are so deeply instilled in the heart and mind of people across various parts of the world. _x0007__x0007_As a person raised by Chinese parents in an Asian culture, I have long been aware of the many limitations in which old traditions have set upon me. China has changed its thinking and attitude regarding this issue in recent years, and never have I felt more liberated, more grateful, to have been born a woman. But like all great things, the exhilaration of victory comes and goes. Half of the world's population is suffering at the hands of erroneous, senseless misinformation. As someone lucky enough to be educated, to live a life of relative affluence, I see it as my duty as a fellow woman to do something about the current situation. I'm sure that by taking this course and reading the assigned textbook, I would be even more informed, knowledgeable, and capable in helping to end the plight of a lot of women across the globe.",0,0,1
"Similarly, in the Occupied Palestinian Territories, the majority of the population have very severe mental health issues, due to the trauma of ongoing occupation and periods of political violence.  For women, this is compounded by patriarchal structures that promote discrimination against women and, in some instances, condone gender based violence.  Meanwhile, many men are affected by the pressure to provide for the family and the inability to do so because of the lack of opportunities for employment and entrepreneurship.  I think both sexes have mental health issues that are caused by the gender roles and expectations of their society, which can have different, harmful consequences for the two sexes.",0,0,1
"Hey,Thalita. I'm Ting from Thailand. Nice to see a fellow high school student taking this course too. It's great meeting you! :)",1,0,1
Hii guys I'm <nameRedac_<anon_screen_name_redacted>> from India.I am an Engineering student.I am taking this course to gain knowledge about Women's Health and Human Rights.,1,0,1
"Very interesting interview!not surprised to hear that the US governament is not allowing its funds for abortion interventions. Luckily there are more open minded countries that can help with this issue, which I believe its outraugeous.",1,0,1
"This will take further study, however, I note that often women more than men in the listed countries think wife beating is \OK\"", particularly in Uganda.  In other words this is their fate in life.  Also, North America is a very small part of the female population around the world.""",1,0,1
"I am not really surprised by the statistics that we reviewed. Women the world over face horrific circumstances and have been taught that it is their lot in life, which I feel only adds to the tragedy. But what has shocked me recently, is that even where I live (in the US) among my classmates and peers, people don't want to talk about women. Women that I work with don't want to have the conversation because we have been taught to be silent. I can't even begin to list the reasons that men don't want to approach the subject. I am happy to see that course breaks that silence and faces the harsh reality head on.",1,0,1
"Hi, I am <nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>> from Pune, India. I am a third year Law student at Symbiosis Law School and presently interning with a non-profit named 'Janwani' where I am working on a handbook on 'Women Safety in Pune' in collaboration with Women's Cell of Pune Police and on an independent paper on 'Current status of women component of the twelfth five year plan of Government of India'. I am very excited to be a part of this course and meet & learn from you all. Thank you!",1,0,1
"Hi there, we will be posting these links shortly. Stanford is adjusting which servers will host the videos, so once they can be easily downloaded, we will let you know. Thanks for your patience!",1,0,0
"I liked this chapter. I believe we need to empower and educate women more. We definitely are essential to human life as we bring life to the world. Men often abuse this. I wish contraception could be available to impoverished women, but would that help if they have abusive and manipulative husbands? Men need to be reminded why women are so important. Women need to be reminded of their basic human rights. This high school girl who had only been living in the US for a short time had disposed her 7 month gestational aged baby in a trash can at a local high school by me. She was from Haiti. Do you think, despite all the resources available to her at the high school and in our city in general, that her deep rooted helplessness and ignorance of her basic human rights and special care as a woman impeded her from making a better decision? Women need to be educated and reminded of their rights. Basic human rights. Women's rights = human rights -- men need to understand that and shed that understanding onto the women in their home, city, state, nation, country, etc. Why focus on women? Well, we underestimate and second guess our rights as humans. I don't know why, but I'd like to find out through the course of this book study and discussion.",1,1,1
"I think that is a very important point. What is truly a religious teaching vs what people do in the name of a religion may be very different. As a Muslim woman this point is very important to me. There are many misunderstandings of the religion that have a negative impact on the wellbeing of women. These are cultural practices not found in an educated view of the religion. _x0007__x0007_Religion can also be a benefit to health in a number of ways and there is much research to support this. Observance of religious proscriptions in Islam, for example, is protective against STIs, alcoholism, and many other health scourges. Thus lack of education turns what may be a health benefit into a health detriment.",1,0,1
"This is a marvelous opportunity for us to share information and get to know each other. I am truly grateful to be a part of this class._x0007__x0007_It is interesting to me how many responses addressed the question of domestic violence. I do not in any way support women being beaten by their family members. Please do not misunderstand. But I think that the violence against women that takes the form of food insecurity, watching babies dies of preventable diseases, working outrageous hours under difficult conditions while pregnant, etc. can be just as harmful. _x0007__x0007_Oftentimes in the U.S. we see the various forms of violence against women in other countries and think, \Their culture/religion/values are bad, and our are good\"". We are blind to the forms of injustice that occur at home as well as our own contribution to the problems overseas. Case in point: a careful look at the data reveals that the infant mortality rate in the US is strikingly higher than in Canada next door, despite equal access to medical care. Canada also provides much better maternity leave (I believe it is one year paid) than does the US. One of my prenatal patients is a nurse working stressful 12-hour night shifts in an ICU. Her plan is to work until the day she delivers so that she can have a full 12 weeks of (unpaid) maternity leave. In my view, this is a form of brutality against both the mother an the child. When we advocate for women to have the economic freedom and increased status that come with employment we have to be careful that we are not advocating for them to be condemned to the hardships of no longer having any social/economic support as mothers._x0007__x0007_I have found that Western feminists often succumb to a subtle form of patriarchal thinking that they have all the 'right answers' to how people should live. If only \""those people\"" in other countries would adopt their Western feminist values, it would make everything better there. I believe that there are certain things that are universally harmful and unjust, as identified in this course curriculum; however there may be many ways to address these problems that are culturally specific. Imposing Western culture can be very harmful itself. I am hoping that we will further explore these issues as the course progresses.""",1,0,1
"The readings were very interesting.  I look forward to all topics.  For example, the reading made me look forward to learning the reason behind the study assertion that the UN projects birthrates by gender to normalize in the out-years.  Thank you for offering this course!  (I only wish we could take notes on the on-line version of the text.)",1,0,1
"Hi! I'm <nameRedac_<anon_screen_name_redacted>> from New York City. I graduated with a degree in Telecommunications last May and have spent the last few months working for an advertising agency in the city. I've always loved learning more about human rights under every segment of discrimination (gender, sexuality, income, etc.) I would love to get to know you all! We can set up our own study group :)",1,0,1
"I personally found these specific statistics to be shocking. I had no problem believing that 1/3-1/2 of women have experienced domestic abuse, but to have that high of a percentage believe that it is okay?! It does make complete sense when you look at the way societies are set up, and as you said it is learned. It is just such a foreign concept. So sad.",0,0,1
I really don't think you need to apologise! Feminism helps everybody. Feminist struggles and campaigns may focus on the needs of women directly but ultimately I believe they will provide a fairer society in which all genders can thrive.,1,0,1
"I just want to say that, while much of the reading is heartbreaking, I'm VERY thankful for this course already! I really appreciate the approach of outlining and explaining the problems, supporting them with hard facts and showing how change is on its way._x0007_I believe this course can give me valuable resources for exploring how I can approach a new stream of research, one that contributes to the humanity. The materials I read so far not only providing contextual knowledge, justification and pointers to background information but also show in a very concrete manner how to apply the subjects' own perspective. I believe that is essential for producing knowledge that enables change.",1,0,1
"I concur.  It is cultural practice to reform.  Most major world religions seek further enlightenment, protection, and general goodness. There's an important concept of consensual vs committed religion.  Consensual practitioners \go with the flow,\"" typically doing things that are most easily observable/identifiable in a religious community, but do not fully understanding the concepts behind actions, and thus are thin in faith.  These people tend to be less educated, more prejudiced, biased, self-serving, and more prone to unacceptable behaviors -- especially if they have made an error or sin, real or imagined.  Committed practitioners actually do believe, love, and act upon their religion fully.  They tend to be more educated, more service oriented/empathetic, more forgiving and pro-social in behavior, and they are more successful in keeping the tenets of their belief, having a better comprehension of abstract thought and belief._x0007__x0007_Though religion does have major impact on significant aspects of culture, it is people who shape the paradigms at play.  It is the people who need further training and exposure to health and happier modes to engage in. And in turn, it is the hand that rocks the cradle that will set in motion what will come tomorrow.""",1,0,0
"After completing the preliminary readings, I'm even more excited about this course. I was particularly struck by the quote from the Talmud at the end of the prologue and I feel it highlights my interest in international women's health: \You are not obligated to complete the work, but neither are you free to abandon it.\"" _x0007__x0007_As many of you have mentioned in your posts, I, too, wish I was surprised at some of these statistics listed on the data sheet, particularly the fact that 40% of women in Uganda think it's appropriate for men to beat their wives.  _x0007__x0007_What I'm most looking forward to is looking at how men can be empowered to make better decisions that will positively impact women's health. It's not just about female empowerment. I feel my past education in this topic has focused mainly on female empowerment. Secondly, I'm interested in how mental health plays a role in women's health. It's an area that's widely overlooked, but yet it's such a contributing factor to women's overall health and well-being.""",1,0,1
"Greetings from Tanzania!!! _x0007_I am very happy to be part of this class and i treasure each view and idea from other members. I have gone through welcoming note as well as an introductory survey and what i can say is, i am very lucky to have this opportunity._x0007_Apart from the main  themes which has been pointed out to be part of the course content, i think we should also have a look on sexual and reproductive health of women and girls with disability. I am coming from sub Saharan Africa  where majority of its citizens live in an abject poverty. In rural settings, a person with disability especially when is a woman, is considered to be a curse or brings  bad luck to the family or society around her. About 20% of poorest in developing countries live with disability. In Sub Saharan Africa, women and girls with disabilities are more likely to be victims of physical and sexual abuse and rape. Forced abortion, FGM and forced sterilization are common cases._x0007_Access to sexual and reproductive health especially to women and girls is denied. Education and awareness raising to remove that kind of stigma is needed to majority of people in Africa. Its sad that even people with disability themselves especially in rural areas are not aware of their rights and that they can decide freely and responsibly on their sexual rights and health care. _x0007_I look forward for a wonderful interactions and learn different experiences from other colleagues.",1,0,0
Agreed.,1,0,1
Hello my name is Nadine from Canada. I am looking forward to learning more in this course. I am thankful for the opportunity for the chance to gain better understanding and knowledge.,1,0,1
